"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"ATM","ANEKA TAMBANG (PERSERO) TBK (PT)","1999-08-09","Materials","N/A"
"ATP","ATLAS PEARLS LTD","1993-12-31","Consumer Durables & Apparel",6418076
"ATR","ASTRON CORPORATION LIMITED","1983-11-11","Materials",71036705
"ATS","AUSTRALIS OIL & GAS LIMITED","2016-07-25","Energy",60573182
"ATU","ATRUM COAL LIMITED","2012-07-24","Materials",27350788
"ATX","AMPLIA THERAPEUTICS LIMITED","2013-12-23","Pharmaceuticals, Biotechnology & Life Sciences",26836588
"AU1","THE AGENCY GROUP AUSTRALIA LTD","2007-12-18","Real Estate",21428829
"AUA","AUDEARA LIMITED","2021-05-18","Consumer Durables & Apparel",13125000
"AUB","AUB GROUP LIMITED","2005-11-16","Insurance",1555033296
"AUC","AUSGOLD LIMITED","2009-12-16","Materials",64999331
"AUH","AUSTCHINA HOLDINGS LIMITED","2003-03-17","Energy",11438871
"AUI","AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","1974-01-01","Not Applic",1208322190
"AUK","AUMAKE LIMITED.","2011-12-07","Retailing",14521863
"AUL","AUSTAR GOLD LIMITED","2006-11-22","Materials",22716581
"AUN","AURUMIN LIMITED","2020-12-09","Materials",16914382
"AUP","AURORA PROPERTY BUY-WRITE INCOME TRUST","2007-07-26","Not Applic","N/A"
"AUQ","ALARA RESOURCES LIMITED","2007-05-24","Materials",9876009
"AUR","AURIS MINERALS LIMITED","2001-03-15","Materials",24307924
"AUT","AUTECO MINERALS LTD","2005-09-21","Materials",143377388
"AUZ","AUSTRALIAN MINES LIMITED","2001-09-28","Materials",91113439
"AV1","ADVERITAS LIMITED","2012-12-18","Software & Services",35174461
"AVA","AVA RISK GROUP LIMITED","2015-05-11","Technology Hardware & Equipment",93027320
"AVC","AUCTUS INVESTMENT GROUP LIMITED","2011-08-10","Diversified Financials",66348602
"AVE","AVECHO BIOTECHNOLOGY LIMITED","1993-08-09","Pharmaceuticals, Biotechnology & Life Sciences",31091210
"AVG","AUSTRALIAN VINTAGE LTD","1992-03-26","Food, Beverage & Tobacco",218952295
"AVH","AVITA MEDICAL INC.","2020-06-24","Pharmaceuticals, Biotechnology & Life Sciences",683179283
"AVJ","AVJENNINGS LIMITED","1994-01-27","Real Estate",245769590
"AVL","AUSTRALIAN VANADIUM LIMITED","2007-02-21","Materials",58623176
"AVN","AVENTUS GROUP","2015-10-16","Real Estate",1738458837
"AVR","ANTERIS TECHNOLOGIES LTD","2004-03-24","Health Care Equipment & Services",50074065
"AVW","AVIRA RESOURCES LTD","2013-01-09","Materials",8250240
"AVZ","AVZ MINERALS LIMITED","2007-09-14","Materials",464986428
"AWC","ALUMINA LIMITED","1961-10-31","Materials",4570148232
"AWJ","AURIC MINING LIMITED","2021-02-12","Materials",12566384
"AWN","AWN HOLDINGS LIMITED","2003-06-04","Capital Goods",35244178
"AWV","ANOVA METALS LIMITED","2011-05-18","Materials",28661884
"AX1","ACCENT GROUP LIMITED","2004-07-07","Retailing",1468458798
"AX8","ACCELERATE RESOURCES LIMITED","2018-02-14","Materials",5489673
"AXE","ARCHER MATERIALS LIMITED","2007-08-14","Materials",172904975
"AXI","AXIOM PROPERTIES LIMITED","1997-01-31","Real Estate",28991815
"AXT","ARGO EXPLORATION LIMITED","2006-12-11","Materials","N/A"
"AYI","A1 INVESTMENTS & RESOURCES LTD","2007-10-02","Diversified Financials",16421946
"AYM","AUSTRALIA UNITED MINING LIMITED","2011-09-19","Materials",14740620
"AZI","ALTA ZINC LIMITED","2009-12-24","Materials",22384987
"AZJ","AURIZON HOLDINGS LIMITED","2010-11-22","Transportation",6810604733
"AZS","AZURE MINERALS LIMITED","2003-12-16","Materials",77021430
"AZY","ANTIPA MINERALS LIMITED","2011-04-20","Materials",137657884
"BAP","BAPCOR LIMITED","2014-04-24","Retailing",2803547250
"BAR","BARRA RESOURCES LIMITED","2000-12-12","Materials",12874554
"BAS","BASS OIL LIMITED","2004-09-30","Energy",6684280
"BAT","BATTERY MINERALS LIMITED","2012-10-29","Materials",34701650
"BBC","BNK BANKING CORPORATION LIMITED","2012-05-22","Banks",86688690
"BBL","BRISBANE BRONCOS LIMITED","1989-05-12","Media & Entertainment",49020316
"BBN","BABY BUNTING GROUP LIMITED","2015-10-14","Retailing",707025260
"BBX","BBX MINERALS LIMITED","2005-08-12","Materials",118094182
"BC8","BLACK CAT SYNDICATE LIMITED","2018-01-30","Materials",87383100
"BCA","BLACK CANYON LIMITED","2021-05-05","Materials",9933459
"BCB","BOWEN COKING COAL LIMITED","1995-06-22","Materials",63885509
"BCC","BEAM COMMUNICATIONS HOLDINGS LIMITED","1986-11-06","Technology Hardware & Equipment",18012708
"BCI","BCI MINERALS LIMITED","2006-12-15","Materials",338553556
"BCK","BROCKMAN MINING LIMITED","2011-01-11","Materials",361890053
"BCN","BEACON MINERALS LIMITED","2006-10-20","Materials",121839889
"BCT","BLUECHIIP LIMITED","2011-06-09","Technology Hardware & Equipment",19132176
"BD1","BARD1 LIFE SCIENCES LIMITED","1991-04-18","Health Care Equipment & Services",143301520
"BDA","BOD AUSTRALIA LIMITED","2016-10-27","Retailing",39154850
"BDC","BARDOC GOLD LIMITED","2007-12-12","Materials",117997502
"BDG","BLACK DRAGON GOLD CORP.","2018-08-29","Materials",9766019
"BDM","BURGUNDY DIAMOND MINES LIMITED","2013-01-04","Materials",62848555
"BEE","BROO LTD","2016-10-14","Food, Beverage & Tobacco",15132047
"BEL","BENTLEY CAPITAL LIMITED","1986-11-07","Not Applic",7232152
"BEM","BLACKEARTH MINERALS NL","2018-01-19","Materials",21680154
"BEN","BENDIGO AND ADELAIDE BANK LIMITED","1985-12-19","Banks",5652035441
"BET","BETMAKERS TECHNOLOGY GROUP LTD","2015-12-11","Consumer Services",958463733
"BEX","BIKEEXCHANGE LIMITED","2021-02-09","Class Pend",73248977
"BFC","BESTON GLOBAL FOOD COMPANY LIMITED","2015-08-28","Food, Beverage & Tobacco",105334301
"BFG","BELL FINANCIAL GROUP LIMITED","2007-12-12","Diversified Financials",558094470
"BFL","BSP FINANCIAL GROUP LIMITED","2021-05-25","Banks",0
"BGA","BEGA CHEESE LIMITED","2011-08-19","Food, Beverage & Tobacco",1846025969
"BGL","BELLEVUE GOLD LIMITED","2005-12-20","Materials",736399908
"BGP","BRISCOE GROUP AUSTRALASIA LIMITED","2017-07-20","Retailing",901353015
"BGT","BIO-GENE TECHNOLOGY LTD","2017-11-29","Materials",29563981
"BHD","BENJAMIN HORNIGOLD LIMITED","2017-05-12","Not Applic",7367349
"BHL","BOYUAN HOLDINGS LIMITED","2016-10-31","Real Estate","N/A"
"BHP","BHP GROUP LIMITED","1885-08-13","Materials",134360282172
"BID","BILL IDENTITY LIMITED","2011-01-27","Software & Services",92751933
"BIN","BINGO INDUSTRIES LIMITED","2017-05-03","Commercial & Professional Services",2246517575
"BIQ","BUILDINGIQ, INC","2015-12-17","Software & Services","N/A"
"BIR","BIR FINANCIAL LIMITED","2006-07-31","Diversified Financials",3331265
"BIS","BISALLOY STEEL GROUP LIMITED","2003-06-23","Materials",53782386
"BIT","BIOTRON LIMITED","2001-01-24","Pharmaceuticals, Biotechnology & Life Sciences",36500501
"BKG","BOOKTOPIA GROUP LIMITED","2020-12-03","Retailing",368122921
"BKI","BKI INVESTMENT COMPANY LIMITED","2003-12-12","Not Applic",1145454022
"BKL","BLACKMORES LIMITED","1985-05-02","Household & Personal Products",1382698057
"BKT","BLACK ROCK MINING LIMITED","2003-12-10","Materials",122955914
"BKW","BRICKWORKS LIMITED","1962-06-30","Materials",3532198916
"BKY","BERKELEY ENERGIA LIMITED","2003-09-16","Energy",147619683
"BLD","BORAL LIMITED.","2000-02-21","Materials",8124282033
"BLG","BLUGLASS LIMITED","2006-09-22","Semiconductors & Semiconductor Equipment",27623561
"BLU","BLUE ENERGY LIMITED.","1994-10-13","Energy",89035128
"BLX","BEACON LIGHTING GROUP LIMITED","2014-04-15","Retailing",413144601
"BLY","BOART LONGYEAR LIMITED","2007-04-05","Materials",26996099
"BLZ","BLAZE INTERNATIONAL LIMITED","1996-09-12","Energy",9675003
"BMG","BMG RESOURCES LIMITED","2004-05-12","Materials",12479566
"BMH","BAUMART HOLDINGS LIMITED","2015-06-19","Capital Goods",28948951
"BML","BOAB METALS LIMITED","2004-07-15","Materials",68538153
"BMN","BANNERMAN RESOURCES LIMITED","2005-04-28","Energy",190262044
"BMO","BASTION MINERALS LIMITED","2021-03-16","Materials",13667444
"BNL","BLUE STAR HELIUM LIMITED","1994-11-24","Energy",42672139
"BNO","BIONOMICS LIMITED","1999-12-21","Pharmaceuticals, Biotechnology & Life Sciences",206557333
"BNR","BULLETIN RESOURCES LIMITED","2010-12-20","Materials",12909101
"BNZ","BENZ MINING CORP.","2020-12-23","Materials",67482354
"BOA","BOADICEA RESOURCES LIMITED","2012-10-11","Materials",13672064
"BOAN","BOADICEA RESOURCES LIMITED","2012-10-11","Materials",13672064
"BOC","BOUGAINVILLE COPPER LIMITED","1970-12-31","Materials",220584375
"BOE","BOSS ENERGY LTD","2007-07-25","Materials",364524209
"BOL","BOOM LOGISTICS LIMITED","2003-10-14","Capital Goods",62027260
"BOQ","BANK OF QUEENSLAND LIMITED.","1971-08-24","Banks",5627010363
"BOT","BOTANIX PHARMACEUTICALS LTD","1985-01-24","Pharmaceuticals, Biotechnology & Life Sciences",65200519
"BPH","BPH ENERGY LTD","2004-08-06","Pharmaceuticals, Biotechnology & Life Sciences",53858471
"BPM","BPM MINERALS LIMITED","2020-12-30","Materials",15029640
"BPP","BABYLON PUMP & POWER LIMITED","1996-12-13","Capital Goods",20722996
"BPT","BEACH ENERGY LIMITED","1972-06-30","Energy",2920107080
"BRB","BREAKER RESOURCES NL","2012-04-20","Materials",55392958
"BRG","BREVILLE GROUP LIMITED","1999-05-25","Consumer Durables & Apparel",4139046551
